Date_Time_UTC, Latitude_N, Longitude_W, Pressure_mb, WindSpeed_kt, Stage
30_1800, 9.4, 42.8, 1008, 30, tropical_depression
01_0000, 9.3, 45.3, 1007, 35, tropical_storm
01_0600, 9.4, 47.7, 1006, 35, tropical_storm
01_1200, 9.9, 50.2, 1005, 40, tropical_storm
01_1800, 10.7, 52.6, 1004, 45, tropical_storm
02_0000, 11.5, 55.0, 1002, 50, tropical_storm
02_0600, 12.3, 57.3, 1000, 55, tropical_storm
02_1200, 13.0, 59.8, 995, 65, hurricane
02_1800, 13.8, 62.4, 991, 75, hurricane
03_0000, 14.7, 65.1, 995, 70, hurricane
03_0600, 15.7, 67.9, 998, 65, hurricane
03_1200, 16.6, 70.3, 1000, 60, tropical_storm
03_1800, 17.2, 72.5, 1002, 60, tropical_storm
04_0000, 17.6, 74.4, 1004, 55, tropical_storm
04_0600, 18.0, 75.5, 1006, 55, tropical_storm
04_1200, 18.5, 76.5, 1007, 50, tropical_storm
04_1800, 19.3, 77.6, 1007, 50, tropical_storm
05_0000, 20.1, 78.6, 1005, 55, tropical_storm
05_0600, 20.7, 79.6, 1005, 55, tropical_storm
05_1200, 21.3, 80.7, 1005, 55, tropical_storm
05_1800, 22.1, 81.5, 1005, 55, tropical_storm
05_1830, 22.2, 81.6, 1005, 55, tropical_storm
06_0000, 22.9, 82.0, 1005, 50, tropical_storm
06_0600, 23.7, 82.4, 1005, 50, tropical_storm
06_1200, 24.6, 82.7, 1003, 55, tropical_storm
06_1800, 25.5, 82.9, 997, 60, tropical_storm
07_0000, 26.6, 83.2, 996, 65, hurricane
07_0600, 27.8, 83.5, 998, 55, tropical_storm
07_1200, 29.1, 83.6, 999, 55, tropical_storm
07_1430, 29.8, 83.5, 1000, 55, tropical_storm
07_1800, 30.3, 83.4, 1002, 45, tropical_storm
08_0000, 31.5, 82.7, 1005, 45, tropical_storm
08_0600, 32.8, 81.8, 1006, 40, tropical_storm
08_1200, 34.2, 80.5, 1006, 40, tropical_storm
08_1800, 35.5, 79.0, 1004, 45, tropical_storm
09_0000, 36.8, 77.4, 1003, 45, tropical_storm
09_0600, 38.4, 75.5, 1001, 50, tropical_storm
09_1200, 40.3, 73.1, 999, 50, tropical_storm
09_1500, 40.9, 72.3, 999, 50, tropical_storm
09_1630, 41.4, 71.7, 999, 50, tropical_storm
09_1800, 42.0, 71.0, 999, 45, extratropical
10_0000, 44.0, 68.3, 997, 40, extratropical
10_0600, 46.8, 64.4, 999, 35, extratropical
10_1200, 0, 0, 0, 0, dissipated
