año, mes, temp_max_cdmx
2017, 01, 23.2
2017, 02, 24.4
2017, 03, 24.4
2017, 04, 26.5
2017, 05, 28.1
2017, 06, 26.5
2017, 07, 24.3
2017, 08, 25.0
2017, 09, 23.5
2017, 10, 23.2
2017, 11, 23.6
2017, 12, 22.5
2018, 01, 20.7
2018, 02, 23.9
2018, 03, 26.6
2018, 04, 26.2
2018, 05, 27.3
2018, 06, 25.2
2018, 07, 25.2
2018, 08, 23.8
2018, 09, 24.4
2018, 10, 23.4
2018, 11, 22.5
2018, 12, 22.3
2019, 01, 23.1 
2019, 02, 26.7 
2019, 03, 29.3 
2019, 04, 29.8 
2019, 05, 32.1 
2019, 06, 30.8 
2019, 07, 28.6 
2019, 08, 28.4 
2019, 09, 26.8 
2019, 10, 26.0 
2019, 11, 24.4 
2019, 12, 22.6
2020, 01, 23.0 
2020, 02, 25.9 
2020, 03, 27.9 
2020, 04, 28.4 
2020, 05, 27.3 
2020, 06, 26.5 
2020, 07, 26.1 
2020, 08, 24.9 
2020, 09, 23.9 
2020, 10, 24.5 
2020, 11, 23.7 
2020, 12, 23.2 
2021, 01, 23.2
2021, 02, 25.4
2021, 03, 27.8
2021, 04, 28.3
2021, 05, 27.1
2021, 06, 24.2
2021, 07, 25.3
2021, 08, 25.2
2021, 09, 24.3
2021, 10, 23.9
2021, 11, 22.3
2021, 12, 23.7
